"no","districtCode","districtName","wardCode","wardName"
"1","760","Quận 1","26734","Phường Tân Định"
"2","760","Quận 1","26737","Phường Đa Kao"
"3","760","Quận 1","26740","Phường Bến Nghé"
"4","760","Quận 1","26743","Phường Bến Thành"
"5","760","Quận 1","26746","Phường Nguyễn Thái Bình"
"6","760","Quận 1","26749","Phường Phạm Ngũ Lão"
"7","760","Quận 1","26752","Phường Cầu Ông Lãnh"
"8","760","Quận 1","26755","Phường Cô Giang"
"9","760","Quận 1","26758","Phường Nguyễn Cư Trinh"
"10","760","Quận 1","26761","Phường Cầu Kho"
"11","761","Quận 12","26764","Phường Thạnh Xuân"
"12","761","Quận 12","26767","Phường Thạnh Lộc"
"13","761","Quận 12","26770","Phường Hiệp Thành"
"14","761","Quận 12","26773","Phường Thới An"
"15","761","Quận 12","26776","Phường Tân Chánh Hiệp"
"16","761","Quận 12","26779","Phường An Phú Đông"
"17","761","Quận 12","26782","Phường Tân Thới Hiệp"
"18","761","Quận 12","26785","Phường Trung Mỹ Tây"
"19","761","Quận 12","26787","Phường Tân Hưng Thuận"
"20","761","Quận 12","26788","Phường Đông Hưng Thuận"
