no,districtCode,districtName,wardCode,wardName,destAddr
1,760,Quận 1,26734,Phường Tân Định,"Phường Tân Định, Quận 1, Ho Chi Minh"
2,760,Quận 1,26737,Phường Đa Kao,"Phường Đa Kao, Quận 1, Ho Chi Minh"
3,760,Quận 1,26740,Phường Bến Nghé,"Phường Bến Nghé, Quận 1, Ho Chi Minh"
4,760,Quận 1,26743,Phường Bến Thành,"Phường Bến Thành, Quận 1, Ho Chi Minh"
5,760,Quận 1,26746,Phường Nguyễn Thái Bình,"Phường Nguyễn Thái Bình, Quận 1, Ho Chi Minh"
6,760,Quận 1,26749,Phường Phạm Ngũ Lão,"Phường Phạm Ngũ Lão, Quận 1, Ho Chi Minh"
7,760,Quận 1,26752,Phường Cầu Ông Lãnh,"Phường Cầu Ông Lãnh, Quận 1, Ho Chi Minh"
8,760,Quận 1,26755,Phường Cô Giang,"Phường Cô Giang, Quận 1, Ho Chi Minh"
9,760,Quận 1,26758,Phường Nguyễn Cư Trinh,"Phường Nguyễn Cư Trinh, Quận 1, Ho Chi Minh"
10,760,Quận 1,26761,Phường Cầu Kho,"Phường Cầu Kho, Quận 1, Ho Chi Minh"
11,761,Quận 12,26764,Phường Thạnh Xuân,"Phường Thạnh Xuân, Quận 12, Ho Chi Minh"
12,761,Quận 12,26767,Phường Thạnh Lộc,"Phường Thạnh Lộc, Quận 12, Ho Chi Minh"
13,761,Quận 12,26770,Phường Hiệp Thành,"Phường Hiệp Thành, Quận 12, Ho Chi Minh"
14,761,Quận 12,26773,Phường Thới An,"Phường Thới An, Quận 12, Ho Chi Minh"
15,761,Quận 12,26776,Phường Tân Chánh Hiệp,"Phường Tân Chánh Hiệp, Quận 12, Ho Chi Minh"
16,761,Quận 12,26779,Phường An Phú Đông,"Phường An Phú Đông, Quận 12, Ho Chi Minh"
17,761,Quận 12,26782,Phường Tân Thới Hiệp,"Phường Tân Thới Hiệp, Quận 12, Ho Chi Minh"
18,761,Quận 12,26785,Phường Trung Mỹ Tây,"Phường Trung Mỹ Tây, Quận 12, Ho Chi Minh"
19,761,Quận 12,26787,Phường Tân Hưng Thuận,"Phường Tân Hưng Thuận, Quận 12, Ho Chi Minh"
20,761,Quận 12,26788,Phường Đông Hưng Thuận,"Phường Đông Hưng Thuận, Quận 12, Ho Chi Minh"
